edges,probability
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,0.0
63,0.0
64,0.0
65,0.0
66,0.0
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.0
79,0.0
80,0.0
81,0.0
82,0.0
83,0.0
84,0.0
85,0.0
86,0.0
87,0.0
88,0.0
89,0.0
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
100,0.0
101,0.0
102,0.0
103,0.0
104,0.0
105,0.0
106,0.0
107,0.0
108,0.0
109,0.0
110,0.0
111,0.0
112,0.0
113,0.0
114,0.0
115,0.0
116,0.0
117,0.0
118,0.0
119,0.0
120,0.0
121,0.0
122,0.0
123,0.0
124,0.0
125,0.0
126,0.0
127,0.0
128,0.0
129,0.0
130,0.0
131,0.0
132,0.0
133,0.0
134,0.0
135,0.0
136,0.0
137,0.0
138,0.0
139,0.0
140,0.0
141,0.0
142,0.0
143,0.0
144,0.0
145,0.0
146,0.0
147,0.0
148,0.0
149,0.0
150,0.02
151,0.0
152,0.0
153,0.0
154,0.0
155,0.0
156,0.02
157,0.0
158,0.0
159,0.0
160,0.0
161,0.04
162,0.02
163,0.0
164,0.0
165,0.0
166,0.04
167,0.02
168,0.02
169,0.06
170,0.0
171,0.02
172,0.04
173,0.04
174,0.08
175,0.02
176,0.06
177,0.0
178,0.1
179,0.08
180,0.12
181,0.04
182,0.06
183,0.06
184,0.06
185,0.06
186,0.12
187,0.06
188,0.12
189,0.06
190,0.08
191,0.1
192,0.08
193,0.26
194,0.18
195,0.12
196,0.2
197,0.14
198,0.18
199,0.22
200,0.18
201,0.14
202,0.22
203,0.24
204,0.18
205,0.18
206,0.18
207,0.14
208,0.12
209,0.24
210,0.3
211,0.36
212,0.24
213,0.3
214,0.28
215,0.28
216,0.28
217,0.2
218,0.22
219,0.26
220,0.26
221,0.28
222,0.42
223,0.3
224,0.38
225,0.44
226,0.4
227,0.42
228,0.46
229,0.4
230,0.44
231,0.38
232,0.4
233,0.32
234,0.46
235,0.5
236,0.52
237,0.54
238,0.28
239,0.68
240,0.52
241,0.54
242,0.62
243,0.48
244,0.5
245,0.56
246,0.62
247,0.48
248,0.5
249,0.64
250,0.58
251,0.6
252,0.54
253,0.76
254,0.52
255,0.52
256,0.62
257,0.62
258,0.56
259,0.64
260,0.62
261,0.66
262,0.72
263,0.72
264,0.6
265,0.68
266,0.6
267,0.6
268,0.64
269,0.7
270,0.76
271,0.72
272,0.72
273,0.52
274,0.84
275,0.76
276,0.78
277,0.74
278,0.72
279,0.74
280,0.74
281,0.66
282,0.76
283,0.76
284,0.84
285,0.78
286,0.82
287,0.7
288,0.78
289,0.7
290,0.78
291,0.84
292,0.68
293,0.84
294,0.9
295,0.88
296,0.86
297,0.8
298,0.8
299,0.82
300,0.84
301,0.76
302,0.9
303,0.88
304,0.88
305,0.88
306,0.86
307,0.72
308,0.84
309,0.72
310,0.78
311,0.9
312,0.84
313,0.86
314,0.86
315,0.9
316,0.86
317,0.82
318,0.86
319,0.82
320,0.8
321,0.88
322,0.9
323,0.86
324,0.9
325,0.88
326,0.92
327,0.9
328,0.84
329,0.86
330,0.92
331,0.96
332,0.92
333,0.9
334,0.96
335,0.92
336,0.9
337,0.92
338,0.88
339,0.9
340,0.9
341,0.92
342,0.88
343,0.94
344,0.9
345,0.9
346,0.92
347,0.96
348,1.0
349,0.92
350,0.92
351,0.94
352,0.94
353,0.96
354,0.92
355,0.96
356,0.94
357,0.92
358,0.98
359,0.96
360,1.0
361,0.92
362,0.92
363,0.9
364,0.96
365,0.98
366,0.98
367,0.94
368,0.96
369,0.94
370,0.94
371,0.98
372,0.92
373,0.92
374,0.96
375,0.96
376,0.98
377,0.98
378,0.92
379,0.98
380,0.94
381,1.0
382,0.98
383,0.94
384,0.96
385,0.96
386,0.96
387,0.96
388,1.0
389,0.94
390,1.0
391,0.98
392,0.98
393,0.98
394,0.94
395,0.96
396,0.98
397,0.96
398,1.0
399,0.94
400,1.0
401,1.0
402,0.94
403,0.98
404,0.98
405,1.0
406,0.98
407,1.0
408,0.94
409,0.98
410,0.98
411,1.0
412,1.0
413,1.0
414,1.0
415,1.0
416,1.0
417,1.0
418,1.0
419,1.0
420,1.0
421,1.0
422,0.98
423,1.0
424,0.98
425,1.0
426,1.0
427,0.98
428,0.96
429,0.98
430,0.96
431,0.94
432,0.94
433,1.0
434,0.98
435,1.0
436,0.94
437,0.98
438,1.0
439,0.98
440,1.0
441,1.0
442,1.0
443,1.0
444,0.98
445,0.98
446,0.98
447,0.98
448,1.0
449,1.0
450,1.0
451,1.0
452,1.0
453,1.0
454,0.98
455,1.0
456,1.0
457,1.0
458,1.0
459,1.0
460,1.0
461,1.0
462,0.98
463,1.0
464,1.0
465,1.0
466,1.0
467,1.0
468,0.98
469,1.0
470,0.98
471,1.0
472,0.98
473,1.0
474,0.98
475,1.0
476,1.0
477,0.98
478,1.0
479,1.0
480,1.0
481,1.0
482,1.0
483,1.0
484,1.0
485,0.98
486,0.98
487,0.98
488,1.0
489,1.0
490,1.0
491,1.0
492,1.0
493,1.0
494,1.0
495,1.0
496,1.0
497,1.0
498,1.0
499,1.0
500,1.0
